N;Category;Material;Description;Stories;Typology
1;RC structures;RC;RC house;<3;CR/LWAL/HBET:1-3/RES+RES1
2;RC structures;RC;low-rise RC buildings;3-9;CR/LWAL/HBET:3-9/RES+RES2
3;RC structures;RC;mid-rise RC buildings;10-24;CR/LWAL/HBET:10-24/RES+RES2
4;RC structures;RC;high-rise RC buildings;>24;CR/LWAL/HBET:25-40/RES+RES2
5;Masonry structures;UCB;unreinforced clay brick house;1-2;MUR+CLBRS+MOC/LWAL/HBET:1-2/RES+RES1
6;Masonry structures;RCB;reinforced clay brick house;1-2;MR+CLBRH+RS+MOC/LWAL/HBET:1-2/RES+RES1
7;Masonry structures;CCB;conflined clay brick house;1-2;MCF+CLBRS+MOC/LWAL/HBET:1-2/RES+RES1(27%)_and_MCF+CLBRH+MOC/LWAL/HBET:1-2/RES+RES1(73%)
8;Masonry structures;CB;reinforced or confined concrete block house;1-2;MCF+CBH+MOC/LWAL/HBET:1-2/RES+RES1(73%)_and_MR+CBH+RS+MOC/LWAL/HBET:1-2/RES+RES1(27%)
9;Masonry structures;RCB;reinforced clay brick building;3;MR+CLBRH+RS+MOC/LWAL/HEX:3/RES+RES2
10;Masonry structures;CCB;conflined clay brick building;3;MCF+CLBRS+MOC/LWAL/HEX:3/RES+RES2(30%)_and_MCF+CLBRH+MOC/LWAL/HEX:3/RES+RES2(70%)
11;Masonry structures;CB;reinforced or confined concrete block building;3 ;MCF+CBH+MOC/LWAL/HEX:3/RES+RES2(70%)_and_MR+CBH+RS+MOC/LWAL/HEX:3/RES+RES2(30%)
12;Masonry structures;RCB;reinforced clay brick building;4-5;MR+CLBRH+RS+MOC/LWAL/HBET:4-5/RES+RES2
13;Masonry structures;CCB;conflined clay brick building;4-5;MCF+CLBRS+MOC/LWAL/HBET:4-5/RES+RES2(80%)_and_MCF+CLBRH+MOC/LWAL/HBET:4-5/RES+RES2(20%)
14;Masonry structures;CB;reinforced or confined concrete block building;4-5;MCF+CBH+MOC/LWAL/HBET:4-5/RES+RES2(83%)_and_MR+CBH+RS+MOC/LWAL/HBET:4
15;Timber;W;Timber houses;<3;W/LWAL/HBET:1-3/RES+RES1
16;Timber;W;Timber emergency houses;1 ;W/LWAL+DNO/HBET:1-2/RES
17;Adobe;ADO;Adobe houses;1-2;MUR+ADO+MOM/LWAL+DNO/HBET:1
18;Any;MATO;Self or informal constructions;1 ;MATO/LWAL+DNO/HBET:1-2/RES+RES6
